,Court,Last Hearing Date,Court ID
3188,Augusta,09/24/2020,015C
3191,Augusta,04/09/2020,015C
3196,Augusta,02/05/2020,015C
3201,Augusta,11/10/2020,015C
3202,Augusta,02/25/2020,015C
3203,Augusta,04/13/2020,015C
3204,Augusta,08/06/2020,015C
3213,Augusta,01/16/2020,015C
3214,Augusta,07/02/2020,015C
3218,Augusta,12/11/2020,015C
3220,Augusta,07/13/2020,015C
3221,Augusta,03/10/2020,015C
3222,Augusta,07/22/2020,015C
3227,Augusta,07/27/2020,015C
3239,Augusta,06/24/2020,015C
3240,Augusta,05/11/2020,015C
3243,Augusta,09/18/2020,015C
3244,Augusta,01/22/2020,015C
3247,Augusta,03/09/2020,015C
3250,Augusta,07/14/2020,015C
3256,Augusta,07/30/2020,015C
3265,Augusta,09/22/2020,015C
3268,Augusta,11/24/2020,015C
3270,Augusta,05/26/2020,015C
3272,Augusta,02/14/2020,015C
3273,Augusta,07/07/2020,015C
3275,Augusta,09/25/2020,015C
3276,Augusta,12/08/2020,015C
3279,Augusta,08/28/2020,015C
3282,Augusta,05/22/2020,015C
3286,Augusta,05/05/2020,015C
3290,Augusta,06/23/2020,015C
3291,Augusta,02/21/2020,015C
3296,Augusta,01/31/2020,015C
3297,Augusta,12/03/2020,015C
3298,Augusta,06/30/2020,015C
3304,Augusta,08/20/2020,015C
3305,Augusta,08/18/2020,015C
3309,Augusta,02/27/2020,015C
3313,Augusta,01/10/2020,015C
3326,Augusta,02/10/2020,015C
3349,Augusta,08/10/2020,015C
3352,Augusta,01/24/2020,015C
3357,Augusta,06/19/2020,015C
3359,Augusta,01/14/2020,015C
3370,Augusta,09/11/2020,015C
3374,Augusta,01/23/2020,015C
3375,Augusta,08/13/2020,015C
3403,Augusta,02/18/2020,015C
3409,Augusta,09/30/2020,015C
3411,Augusta,09/02/2020,015C
3412,Augusta,07/24/2020,015C
3419,Augusta,01/09/2020,015C
3424,Augusta,02/11/2020,015C
3425,Augusta,08/27/2020,015C
3436,Augusta,06/08/2020,015C
3444,Augusta,07/17/2020,015C
3449,Augusta,09/03/2020,015C
3455,Augusta,03/04/2020,015C
3458,Augusta,09/15/2020,015C
3474,Augusta,06/05/2020,015C
