Judge,Year,Court
Hon Bruce A. Wilcox,2005,Room 160
Hon Dale M. Wiley,2005,P. O. Box 3300
Hon Sharon B. Will,2005,P. O. Box 27032
Hon David L. Williams,2005,307 Albemarle Drive
Hon David Victor Williams,2005,Suite B
Hon Gino W. Williams,2005,1 East Main St
Hon Keary R. Williams,2005,P.O. Box 849
Hon Marcus D. Williams,2005,4110 Chain Bridge Road
Hon Stuart L. Williams Jr.,2005,P. O. Box 27032
Hon William P. Williams,2005,800 East City Hall Avenue
Hon Alotha C. Willis,2005,P. O. Box 1073
Hon Gordon F. Willis,2005,P. O. Box 339
Hon Jere M.H. Willis Jr.,2005,Court of Appeals of Virginia
Hon Larry D. Willis,2005,301 Albemarle Drive
Hon Elizabeth S. Wills,2005,P. O. Box 2320
Hon Robert B. Wilson V,2005,220 North King Street
Hon Thomas H. Wood,2005,P. O. Box 689
Hon Robert G. Woodson Jr.,2005,P. O. Box 24
Hon Gene A. Woolard,2005,2425 Nimmo Parkway
Hon Robert W. Wooldridge Jr.,2005,4110 Chain Bridge Road
Hon Dean S. Worcester,2005,18 East Market Street
Hon Timothy S. Wright,2005,307 Albemarle Drive
Hon Archer L. Yeatts III,2005,P. O. Box 27032
,2005,Unknown
Mr Ronald S. Albright,2005,Roanoke City General District Court
Hon Beverly R. Anderson,2005,Lee Circuit Court
Ms Terry Jean Andrews,2005,Caroline Juvenile & Domestic Relations District Court
Hon A. Nicole Armentrout,2005,Waynesboro Circuit Court
Ms Stacey T. Arrington,2005,Bedford Juvenile & Domestic Relations District Court
Hon Gayle Ashworth,2005,Essex Circuit Court
Ms Katherine Malley Aylor,2005,Stafford Juvenile & Domestic Relations District Court
Ms Jill G. Baker,2005,Bland Combined District and JD & R Court
Ms Jacqueline Michelle Balderson,2005,Waynesboro General District Court
Mr Thomas E. Baldwin Sr.,2005,Norfolk General District Court
Hon Gail H. Barb,2005,Fauquier Circuit Court
Hon Denise F. Barb,2005,Shenandoah Circuit Court
Mr Christopher Eric Barr,2005,Alexandria Juvenile & Domestic Relations District Court
