Judge
""
Hon Cynthia P. Morrison
Ms Pollyanna P. Myers
Ms Brenda J. Nance
Mr Thomas Edward Neary
Ms Anne P. Nicholson
Hon Patricia M. Norman
Ms Rosemary R. North
Hon Carol Ownby
Hon Larry B. Palmer
Hon D. Bruce Patterson
Hon Patricia M. Payne
Ms Rita R. Payne
Ms Sheri L. Pearson
Ms Yvette M. Pennington
Mrs Paula Jean Perkins
Hon Wendell G. Peters
Hon Bouson E. Peterson Jr.
Ms Phyllis R. Plyler
Ms Sabrina Herzig Powell
Ms Terri Powers
Hon Ashby R. Pritchett
Ms Kelly A. Pritchett
Ms Gail O. Proffitt
Hon Kay H. Rackley
Ms Sandra K. Ramey
Hon Scarlet B. Ratcliffe
Ms Catherine Hupp Ratliff
Ms Judith D. Reed
Ms Teresa D. Renz
Ms Juanita M. Rice
Ms Janice Ann Rife
Ms Julia F. Ritchie
Ms Nancy E. Roach
Ms Nancy E. Roach
Ms Carolyn W. Robbins
Hon Thomas E. Roberts
Ms Connie Cheryl Roberts
Hon Terry G. Rohr
Hon George E. Schaefer
Mr Royal P. Schmidt Jr.
Hon Benjamin O. Scott
Hon Edward Semonian Jr.
Ms Muriel G. Shackelford
Ms Muriel G. Shackelford
Ms Barbara C. Shaw
Ms June B. Silveira
Ms Bonnie L. Simmons
Ms Beneatha B. Simmons
Ms Bonnie D. Simmons
Hon Jennifer R. Sims
Hon Tina E. Sinnen
Ms Jacqueline D. Sites
Ms Donna D. Slade
Hon Linda Batchelor Smith
Hon Yvonne G. Smith
Ms Carla F. Smith
Ms Faye R. Smith
Hon Judy Stevens Smythers
Ms Sandra B. Sneade
Ms Terry M. Southworth
Ms Jean C. Sparks
Mr Lawrence George Sprader
Mr Steven Robert Spurr
Hon Stacy L. Stafford
Hon V. Earl Stanley Jr.
Ms Pamela A. Staton
Ms Tiffany R. Sterling
Ms Tiffany R. Sterling
Ms Tiffany R. Sterling
Ms Phyllis L. Stewart
Ms Janet T. Stinnett
Ms Joyce A. Street
Ms Barbara J. Studebaker
Hon Charles T. Sturgill
Ms Brenda T. Sumner
Hon Joseph H. Tate
Hon Mark A. (Bo) Taylor
Ms Tammy Tollerson Taylor
Ms Nikki Wymer Taylor
Hon J. Steve Thomas Sr.
Ms Lorraine Creef Throckmorton
Ms Nancy Lynn Tierney
Hon Linda S. Timmons
Hon Lee G. Turner
Ms Brenda L. Vance
Ms Brenda L. Vance
Ms Kathy F. Vance
Hon Zelda S. Vaughn
Ms Connie M. Viar
Ms Judith S. Waddell
Ms Alice Price Waddy
Ms Alice Price Waddy
Hon Peggy W. Walton
Hon Jimmy L. Warren
Hon Caroline Watts
Mr David Carl Wells
Ms Dianne Henley White
Ms Dorothy C. Whitt
Hon Terry H. Whittle
Hon Gary M. Williams
Hon Barbara R. Williams
Hon Annie L. Williams
Hon Thomas R. Williams
Ms Phyllis P. Williams
Ms Francine W. Williams
Mrs Carolyn Kates Williams
Ms Dawn C. Williams
Hon Marilyn Wilson
Hon C. R. Wilson
Ms Edith P. Winters
